GC_pot,Env_ID,Time,Cultivar,average,sd,se,Tmp,LD
1,37,22,Kos,19.44444444,0.101835015,0.058794474,20,D
1,37,1,Kos,19.6,0.08819171,0.050917508,20,D
1,37,4,Kos,19.35555556,0.019245009,0.011111111,20,D
1,37,7,Kos,19.1,0.057735027,0.033333333,20,D
1,37,10,Kos,31.23333333,0.48074017,0.277555467,35,L
1,37,13,Kos,32.07777778,0.117062819,0.06758625,35,L
1,37,16,Kos,31.5,0.08819171,0.050917508,35,L
1,37,19,Kos,31.01111111,0.241139271,0.139221823,35,L
3,39,22,Kos,17.16666667,0.057735027,0.033333333,15,D
3,39,1,Kos,14.04444444,0.453790619,0.261996136,15,D
3,39,4,Kos,13.23333333,0.08819171,0.050917508,15,D
3,39,7,Kos,13.34444444,0.107151675,0.061864048,15,D
3,39,10,Kos,31.25555556,0.096225045,0.055555556,35,L
3,39,13,Kos,31.25555556,0.134715063,0.077777778,35,L
3,39,16,Kos,30.51111111,0.083887049,0.04843221,35,L
3,39,19,Kos,30.24444444,0.076980036,0.044444444,35,L
4,40,22,Kos,19.96666667,0.120185043,0.069388867,20,D
4,40,1,Kos,18.82222222,0.038490018,0.022222222,20,D
4,40,4,Kos,18.78888889,0.050917508,0.029397237,20,D
4,40,7,Kos,18.77777778,0.083887049,0.04843221,20,D
4,40,10,Kos,34.11111111,0.309719108,0.17881641,40,L
4,40,13,Kos,35.06666667,0.152752523,0.08819171,40,L
4,40,16,Kos,34.63333333,0.338296386,0.195315509,40,L
4,40,19,Kos,34.15555556,0.258915116,0.149484712,40,L
6,41,22,Kos,17.41111111,0.30061665,0.173561104,15,D
6,41,1,Kos,13.31111111,0.107151675,0.061864048,15,D
6,41,4,Kos,12.77777778,0.050917508,0.029397237,15,D
6,41,7,Kos,12.63333333,0.066666667,0.038490018,15,D
6,41,10,Kos,33.62222222,0.157527188,0.090948364,40,L
6,41,13,Kos,33.88888889,0.101835015,0.058794474,40,L
6,41,16,Kos,33.41111111,0.221944271,0.128139584,40,L
6,41,19,Kos,32.58888889,0.107151675,0.061864048,40,L
7,42,22,Kos,22.84444444,0.101835015,0.058794474,25,D
7,42,1,Kos,23.75555556,0.038490018,0.022222222,25,D
7,42,4,Kos,23.45555556,0.101835015,0.058794474,25,D
7,42,7,Kos,23.32222222,0.050917508,0.029397237,25,D
7,42,10,Kos,20.53333333,0.057735027,0.033333333,20,L
7,42,13,Kos,19.68888889,0.126197963,0.072860428,20,L
7,42,16,Kos,19.27777778,0.050917508,0.029397237,20,L
7,42,19,Kos,19.22222222,0.126197963,0.072860428,20,L
8,43,22,Kos,27.54444444,0.019245009,0.011111111,30,D
8,43,1,Kos,28.48888889,0.083887049,0.04843221,30,D
8,43,4,Kos,28.28888889,0.101835015,0.058794474,30,D
8,43,7,Kos,27.83333333,0.272845092,0.157527188,30,D
8,43,10,Kos,23.61111111,0.548060554,0.316422908,25,L
8,43,13,Kos,21.6,0.057735027,0.033333333,25,L
8,43,16,Kos,21.7,0.202758751,0.117062819,25,L
8,43,19,Kos,21.76666667,0.240370085,0.138777733,25,L
9,44,22,Kos,31.6,0.066666667,0.038490018,35,D
9,44,1,Kos,32.94444444,0.117062819,0.06758625,35,D
9,44,4,Kos,33,0.08819171,0.050917508,35,D
9,44,7,Kos,32.48888889,0.076980036,0.044444444,35,D
9,44,10,Kos,28.14444444,0.245703827,0.14185717,30,L
9,44,13,Kos,27.66666667,0.115470054,0.066666667,30,L
9,44,16,Kos,27.37777778,0.107151675,0.061864048,30,L
9,44,19,Kos,27.48888889,0.096225045,0.055555556,30,L
10,45,22,Kos,28.06666667,0.145296631,0.083887049,30,D
10,45,1,Kos,28.85555556,0.069388867,0.040061681,30,D
10,45,4,Kos,28.88888889,0.134715063,0.077777778,30,D
10,45,7,Kos,28.62222222,0.189541357,0.109431753,30,D
10,45,10,Kos,21.07777778,0.157527188,0.090948364,20,L
10,45,13,Kos,18.37777778,0.019245009,0.011111111,20,L
10,45,16,Kos,18.36666667,0.115470054,0.066666667,20,L
10,45,19,Kos,18.01111111,0.101835015,0.058794474,20,L
11,46,22,Kos,31.57777778,0.316812832,0.182911974,35,D
11,46,1,Kos,33.5,0.260341656,0.150308325,35,D
11,46,4,Kos,32.9,0.033333333,0.019245009,35,D
11,46,7,Kos,33.22222222,0.138777733,0.080123362,35,D
11,46,10,Kos,24.23333333,0.066666667,0.038490018,25,L
11,46,13,Kos,23.16666667,0.176383421,0.101835015,25,L
11,46,16,Kos,23.36666667,0.176383421,0.101835015,25,L
11,46,19,Kos,23.47777778,0.083887049,0.04843221,25,L
12,47,22,Kos,32.24444444,0.283496685,0.163676887,35,D
12,47,1,Kos,32.91111111,0.083887049,0.04843221,35,D
12,47,4,Kos,32.9,0.120185043,0.069388867,35,D
12,47,7,Kos,32.81111111,0.138777733,0.080123362,35,D
12,47,10,Kos,19.88888889,0.101835015,0.058794474,20,L
12,47,13,Kos,17.54444444,0.069388867,0.040061681,20,L
12,47,16,Kos,17.74444444,0.019245009,0.011111111,20,L
12,47,19,Kos,17.82222222,0.216880237,0.125215863,20,L
15,48,22,Kos,14.46666667,0.133333333,0.076980036,15,D
15,48,1,Kos,13.64444444,0.316812832,0.182911974,15,D
15,48,4,Kos,13.85555556,0.150308325,0.086780552,15,D
15,48,7,Kos,20.24444444,0.328858857,0.18986675,20,L
15,48,10,Kos,19.56666667,0.333333333,0.19245009,20,L
15,48,13,Kos,20.07777778,0.283496685,0.163676887,20,L
15,48,16,Kos,19.86666667,0,0,20,L
15,48,19,Kos,19.81111111,0.485722067,0.280431766,20,L
16,49,22,Kos,18.58888889,0.050917508,0.029397237,20,D
16,49,1,Kos,19.23333333,0.115470054,0.066666667,20,D
16,49,4,Kos,18.35555556,0.171053381,0.098757716,20,D
16,49,7,Kos,24.14444444,0.107151675,0.061864048,25,L
16,49,10,Kos,23.17777778,0.107151675,0.061864048,25,L
16,49,13,Kos,23.4,0.033333333,0.019245009,25,L
16,49,16,Kos,23.3,0.057735027,0.033333333,25,L
16,49,19,Kos,23.42222222,0.200923792,0.116003406,25,L
17,50,22,Kos,23.6,0.066666667,0.038490018,25,D
17,50,1,Kos,24.27777778,0.069388867,0.040061681,25,D
17,50,4,Kos,23.54444444,0.019245009,0.011111111,25,D
17,50,7,Kos,26.82222222,0.298762881,0.17249083,30,L
17,50,10,Kos,26.45555556,0.236486629,0.136535619,30,L
17,50,13,Kos,26.61111111,0.117062819,0.06758625,30,L
17,50,16,Kos,26.53333333,0.218581284,0.126197963,30,L
17,50,19,Kos,26.76666667,0.057735027,0.033333333,30,L
18,51,22,Kos,27.84444444,0.134715063,0.077777778,30,D
18,51,1,Kos,28.55555556,0.083887049,0.04843221,30,D
18,51,4,Kos,28.77777778,0.076980036,0.044444444,30,D
18,51,7,Kos,31.05555556,0.633625664,0.365823947,35,L
18,51,10,Kos,31.43333333,0.723417814,0.41766547,35,L
18,51,13,Kos,31.44444444,0.150308325,0.086780552,35,L
18,51,16,Kos,31.02222222,0.337199798,0.194682394,35,L
18,51,19,Kos,30.91111111,0.21430335,0.123728097,35,L
19,52,22,Kos,31.13333333,0.145296631,0.083887049,35,D
19,52,1,Kos,33.18888889,0.076980036,0.044444444,35,D
19,52,4,Kos,32.65555556,0.019245009,0.011111111,35,D
19,52,7,Kos,34.11111111,0.505891219,0.292076432,40,L
19,52,10,Kos,35.41111111,0.37168286,0.214591199,40,L
19,52,13,Kos,35.08888889,0.200923792,0.116003406,40,L
19,52,16,Kos,34.93333333,0.120185043,0.069388867,40,L
19,52,19,Kos,35.22222222,0.183585685,0.105993245,40,L
21,38,22,Kos,23.61111111,0.083887049,0.04843221,25,D
21,38,1,Kos,24.62222222,0.107151675,0.061864048,25,D
21,38,4,Kos,24.42222222,0.134715063,0.077777778,25,D
21,38,7,Kos,23.77777778,0.019245009,0.011111111,25,D
21,38,10,Kos,30.98888889,0.069388867,0.040061681,40,L
21,38,13,Kos,30.33333333,0.152752523,0.08819171,40,L
21,38,16,Kos,30.4,0.461880215,0.266666667,40,L
21,38,19,Kos,30.94444444,0.386340859,0.223053999,40,L
1,53,22,Kos,15.92222222,0.183585685,0.105993245,15,D
1,53,1,Kos,13.44444444,0.019245009,0.011111111,15,D
1,53,4,Kos,13.77777778,0.107151675,0.061864048,15,D
1,53,7,Kos,24.03333333,0.240370085,0.138777733,25,L
1,53,10,Kos,22.92222222,0.189541357,0.109431753,25,L
1,53,13,Kos,24.64444444,0.4286067,0.247456194,25,L
1,53,16,Kos,22.7,0.152752523,0.08819171,25,L
1,53,19,Kos,23.21111111,0.157527188,0.090948364,25,L
3,55,22,Kos,23.6,0.08819171,0.050917508,25,D
3,55,1,Kos,23.5,0.159571185,0.092128466,25,D
3,55,4,Kos,23.43333333,0.115470054,0.066666667,25,D
3,55,7,Kos,31.94444444,0.57381117,0.331290034,35,L
3,55,10,Kos,30.86666667,0.230940108,0.133333333,35,L
3,55,13,Kos,30.67777778,0.117062819,0.06758625,35,L
3,55,16,Kos,30.76666667,0.240370085,0.138777733,35,L
3,55,19,Kos,30.6,0.251661148,0.145296631,35,L
4,56,22,Kos,27.96666667,0.033333333,0.019245009,30,D
4,56,1,Kos,28.22222222,0.150308325,0.086780552,30,D
4,56,4,Kos,27.98888889,0.096225045,0.055555556,30,D
4,56,7,Kos,34.37777778,0.379082714,0.218863507,40,L
4,56,10,Kos,34.04444444,0.340478965,0.196575622,40,L
4,56,13,Kos,34.75555556,0.250185117,0.144444444,40,L
4,56,16,Kos,34.47777778,0.211695099,0.122222222,40,L
4,56,19,Kos,34.23333333,0.120185043,0.069388867,40,L
5,57,22,Kos,18.06666667,0.033333333,0.019245009,15,D
5,57,1,Kos,15.12222222,0.038490018,0.022222222,15,D
5,57,4,Kos,14.64444444,0.069388867,0.040061681,15,D
5,57,7,Kos,27.77777778,0.117062819,0.06758625,30,L
5,57,10,Kos,26.35555556,0.101835015,0.058794474,30,L
5,57,13,Kos,26.43333333,0.08819171,0.050917508,30,L
5,57,16,Kos,26.78888889,0.342106763,0.197515431,30,L
5,57,19,Kos,27.35555556,0.459871157,0.265506737,30,L
6,58,22,Kos,19.23333333,0.066666667,0.038490018,20,D
6,58,1,Kos,18.78888889,0.167774099,0.096864421,20,D
6,58,4,Kos,18.92222222,0.019245009,0.011111111,20,D
6,58,7,Kos,31.57777778,0.529500114,0.305707033,35,L
6,58,10,Kos,30.66666667,0.3,0.173205081,35,L
6,58,13,Kos,30.66666667,0.152752523,0.08819171,35,L
6,58,16,Kos,30.95555556,0.171053381,0.098757716,35,L
6,58,19,Kos,31.1,0.033333333,0.019245009,35,L
7,59,22,Kos,23.08888889,0.038490018,0.022222222,25,D
7,59,1,Kos,23.37777778,0.050917508,0.029397237,25,D
7,59,4,Kos,23.46666667,0.08819171,0.050917508,25,D
7,59,7,Kos,31.7,0.264575131,0.152752523,40,L
7,59,10,Kos,31.26666667,0.617341973,0.356422554,40,L
7,59,13,Kos,31.45555556,0.819439736,0.473103752,40,L
7,59,16,Kos,32.11111111,0.050917508,0.029397237,40,L
7,59,19,Kos,32.83333333,0.392994204,0.22689531,40,L
8,60,22,Kos,15.36666667,0.066666667,0.038490018,15,D
8,60,1,Kos,13.75555556,0.076980036,0.044444444,15,D
8,60,4,Kos,13.81111111,0.164429429,0.094933375,15,D
8,60,7,Kos,30.34444444,1.185248841,0.684303737,35,L
8,60,10,Kos,28.23333333,0.290593263,0.167774099,35,L
8,60,13,Kos,29.03333333,0.066666667,0.038490018,35,L
8,60,16,Kos,29.87777778,0.069388867,0.040061681,35,L
8,60,19,Kos,29.82222222,0.485722067,0.280431766,35,L
9,61,22,Kos,19.12222222,0.050917508,0.029397237,20,D
9,61,1,Kos,18.77777778,0.101835015,0.058794474,20,D
9,61,4,Kos,19.05555556,0.038490018,0.022222222,20,D
9,61,7,Kos,34.93333333,0.290593263,0.167774099,40,L
9,61,10,Kos,34.05555556,0.203670031,0.117588947,40,L
9,61,13,Kos,34.06666667,0.166666667,0.096225045,40,L
9,61,16,Kos,34.11111111,0.126197963,0.072860428,40,L
9,61,19,Kos,33.83333333,0.284800125,0.164429429,40,L
10,62,22,Kos,16.36666667,0.145296631,0.083887049,15,D
10,62,1,Kos,14.13333333,0.152752523,0.08819171,15,D
10,62,4,Kos,14.88888889,0.069388867,0.040061681,15,D
10,62,7,Kos,34.62222222,0.411411302,0.237528426,40,L
10,62,10,Kos,34.06666667,0.384418753,0.221944271,40,L
10,62,13,Kos,34.64444444,0.050917508,0.029397237,40,L
10,62,16,Kos,34.36666667,0.115470054,0.066666667,40,L
10,62,19,Kos,34.06666667,0.202758751,0.117062819,40,L
11,63,22,Kos,23.52222222,0.019245009,0.011111111,25,D
11,63,1,Kos,24.08888889,0.069388867,0.040061681,25,D
11,63,4,Kos,23.94444444,0.076980036,0.044444444,25,D
11,63,7,Kos,18.73333333,0.240370085,0.138777733,20,L
11,63,10,Kos,18.12222222,0.038490018,0.022222222,20,L
11,63,13,Kos,17.76666667,0.185592145,0.107151675,20,L
11,63,16,Kos,17.8,0.1,0.057735027,20,L
11,63,19,Kos,18.37777778,0.271484261,0.156741511,20,L
12,64,22,Kos,27.92222222,0.069388867,0.040061681,30,D
12,64,1,Kos,28.57777778,0.19245009,0.111111111,30,D
12,64,4,Kos,28.48888889,0.22689531,0.130998068,30,D
12,64,7,Kos,23.15555556,0.171053381,0.098757716,25,L
12,64,10,Kos,23.11111111,0.254587539,0.146986184,25,L
12,64,13,Kos,22.86666667,0.1,0.057735027,25,L
12,64,16,Kos,23.06666667,0.115470054,0.066666667,25,L
12,64,19,Kos,23.23333333,0.057735027,0.033333333,25,L
13,65,22,Kos,32.17777778,0.359526437,0.207572685,35,D
13,65,1,Kos,33.27777778,0.298762881,0.17249083,35,D
13,65,4,Kos,32.92222222,0.657717715,0.3797335,35,D
13,65,7,Kos,26.57777778,0.38920622,0.224708316,30,L
13,65,10,Kos,27.63333333,0.251661148,0.145296631,30,L
13,65,13,Kos,27.41111111,0.050917508,0.029397237,30,L
13,65,16,Kos,27.64444444,0.157527188,0.090948364,30,L
13,65,19,Kos,28.31111111,0.050917508,0.029397237,30,L
14,66,22,Kos,28.03333333,0.066666667,0.038490018,30,D
14,66,1,Kos,28.7,0.115470054,0.066666667,30,D
14,66,4,Kos,28.8,0.033333333,0.019245009,30,D
14,66,7,Kos,18.22222222,0.101835015,0.058794474,20,L
14,66,10,Kos,18.1,0.2081666,0.120185043,20,L
14,66,13,Kos,18.02222222,0.234125639,0.135172501,20,L
14,66,16,Kos,18.36666667,0.2081666,0.120185043,20,L
14,66,19,Kos,18.81111111,0.221944271,0.128139584,20,L
15,67,22,Kos,32.94444444,0.134715063,0.077777778,35,D
15,67,1,Kos,33.18888889,0.150308325,0.086780552,35,D
15,67,4,Kos,32.98888889,0.150308325,0.086780552,35,D
15,67,7,Kos,23.61111111,0.200923792,0.116003406,25,L
15,67,10,Kos,23.41111111,0.050917508,0.029397237,25,L
15,67,13,Kos,23.44444444,0.019245009,0.011111111,25,L
15,67,16,Kos,23.42222222,0.245703827,0.14185717,25,L
15,67,19,Kos,24.53333333,0.176383421,0.101835015,25,L
16,68,22,Kos,29.03333333,5.802585631,3.350124376,35,D
16,68,1,Kos,32.61111111,0.236486629,0.136535619,35,D
16,68,4,Kos,32.94444444,0.368681334,0.212858267,35,D
16,68,7,Kos,17.7,0.32829526,0.189541357,20,L
16,68,10,Kos,18.05555556,0.126197963,0.072860428,20,L
16,68,13,Kos,18.06666667,0.152752523,0.08819171,20,L
16,68,16,Kos,18.12222222,0.221944271,0.128139584,20,L
16,68,19,Kos,19.03333333,0.133333333,0.076980036,20,L
18,70,22,Kos,23.64444444,0.267360209,0.154360489,25,L
18,70,1,Kos,23.77777778,0.076980036,0.044444444,25,L
18,70,4,Kos,23.58888889,0.221944271,0.128139584,25,L
18,70,7,Kos,23.13333333,0.08819171,0.050917508,25,L
18,70,10,Kos,23.05555556,0.164429429,0.094933375,25,L
18,70,13,Kos,23.45555556,0.340478965,0.196575622,25,L
18,70,16,Kos,23.67777778,0.28738927,0.165924272,25,L
18,70,19,Kos,23.83333333,0.115470054,0.066666667,25,L
19,71,22,Kos,28.05555556,0.150308325,0.086780552,30,L
19,71,1,Kos,28.3,0.317979734,0.183585685,30,L
19,71,4,Kos,28.12222222,0.21430335,0.123728097,30,L
19,71,7,Kos,28.27777778,0.340478965,0.196575622,30,L
19,71,10,Kos,27.9,0.41766547,0.241139271,30,L
19,71,13,Kos,28.66666667,0.240370085,0.138777733,30,L
19,71,16,Kos,28.92222222,0.164429429,0.094933375,30,L
19,71,19,Kos,28.5,0.120185043,0.069388867,30,L
20,72,22,Kos,30.93333333,0.433333333,0.250185117,35,L
20,72,1,Kos,31.58888889,0.050917508,0.029397237,35,L
20,72,4,Kos,30.94444444,0.150308325,0.086780552,35,L
20,72,7,Kos,31.45555556,0.245703827,0.14185717,35,L
20,72,10,Kos,31.52222222,0.36717137,0.211986489,35,L
20,72,13,Kos,32.2,0.548735921,0.316812832,35,L
20,72,16,Kos,32.03333333,0.48074017,0.277555467,35,L
20,72,19,Kos,31.94444444,0.236486629,0.136535619,35,L
21,54,22,Kos,19.83333333,0.066666667,0.038490018,20,D
21,54,1,Kos,19.87777778,0.050917508,0.029397237,20,D
21,54,4,Kos,19.68888889,0.069388867,0.040061681,20,D
21,54,7,Kos,26.46666667,0.240370085,0.138777733,30,L
21,54,10,Kos,26.12222222,0.245703827,0.14185717,30,L
21,54,13,Kos,26.1,0.2,0.115470054,30,L
21,54,16,Kos,27.23333333,0.120185043,0.069388867,30,L
21,54,19,Kos,27.51111111,0.189541357,0.109431753,30,L
24,7,22,Kos,19.24444444,0.019245009,0.011111111,20,D
24,7,1,Kos,20.18888889,0.096225045,0.055555556,20,D
24,7,4,Kos,19.72222222,0.069388867,0.040061681,20,D
24,7,7,Kos,19.64444444,0.153960072,0.088888889,20,D
24,7,10,Kos,19.34444444,0.083887049,0.04843221,20,D
24,7,13,Kos,23.6,0.120185043,0.069388867,25,L
24,7,16,Kos,24.15555556,0.183585685,0.105993245,25,L
24,7,19,Kos,23.84444444,0.019245009,0.011111111,25,L
25,8,22,Kos,23.27777778,0.096225045,0.055555556,25,D
25,8,1,Kos,24.36666667,0.133333333,0.076980036,25,D
25,8,4,Kos,23.73333333,0.033333333,0.019245009,25,D
25,8,7,Kos,23.8,0.08819171,0.050917508,25,D
25,8,10,Kos,24.2,0.033333333,0.019245009,25,D
25,8,13,Kos,26.73333333,0.133333333,0.076980036,30,L
25,8,16,Kos,27.56666667,0.321455025,0.185592145,30,L
25,8,19,Kos,27.31111111,0.474146407,0.273748555,30,L
26,9,22,Kos,28.25555556,0.096225045,0.055555556,30,D
26,9,1,Kos,29.6,0.057735027,0.033333333,30,D
26,9,4,Kos,29.27777778,0.164429429,0.094933375,30,D
26,9,7,Kos,29.16666667,0.033333333,0.019245009,30,D
26,9,10,Kos,29.3,0.152752523,0.08819171,30,D
26,9,13,Kos,31.02222222,0.150308325,0.086780552,35,L
26,9,16,Kos,32.25555556,0.485722067,0.280431766,35,L
26,9,19,Kos,32.06666667,0.066666667,0.038490018,35,L
27,11,22,Kos,14.15555556,0.083887049,0.04843221,15,D
27,11,1,Kos,14.66666667,0.033333333,0.019245009,15,D
27,11,4,Kos,14.47777778,0.050917508,0.029397237,15,D
27,11,7,Kos,15.26666667,0.066666667,0.038490018,15,D
27,11,10,Kos,14.6,0.057735027,0.033333333,15,D
27,11,13,Kos,23.27777778,0.069388867,0.040061681,25,L
27,11,16,Kos,23.22222222,0.050917508,0.029397237,25,L
27,11,19,Kos,23.27777778,0.189541357,0.109431753,25,L
1,1,22,Kos,13.87777778,0.101835015,0.058794474,15,D
1,1,1,Kos,13.6,0.120185043,0.069388867,15,D
1,1,4,Kos,14.16666667,0.348010217,0.200923792,15,D
1,1,7,Kos,14.23333333,0.152752523,0.08819171,15,D
1,1,10,Kos,14.06666667,0.08819171,0.050917508,15,D
1,1,13,Kos,14.32222222,0.134715063,0.077777778,15,D
1,1,16,Kos,14.22222222,0.069388867,0.040061681,15,D
1,1,19,Kos,14.23333333,0.145296631,0.083887049,15,D
3,3,22,Kos,23.97777778,0.101835015,0.058794474,25,D
3,3,1,Kos,24.03333333,0.08819171,0.050917508,25,D
3,3,4,Kos,24.05555556,0.069388867,0.040061681,25,D
3,3,7,Kos,24.03333333,0.033333333,0.019245009,25,D
3,3,10,Kos,24.32222222,0.107151675,0.061864048,25,D
3,3,13,Kos,24.03333333,0.057735027,0.033333333,25,D
3,3,16,Kos,24.14444444,0.069388867,0.040061681,25,D
3,3,19,Kos,24.05555556,0.126197963,0.072860428,25,D
4,4,22,Kos,28.4,0.033333333,0.019245009,30,D
4,4,1,Kos,28.48888889,0.200923792,0.116003406,30,D
4,4,4,Kos,28.4,0.1,0.057735027,30,D
4,4,7,Kos,28.53333333,0.145296631,0.083887049,30,D
4,4,10,Kos,28.5,0.057735027,0.033333333,30,D
4,4,13,Kos,28.7,0.033333333,0.019245009,30,D
4,4,16,Kos,28.51111111,0.019245009,0.011111111,30,D
4,4,19,Kos,28.55555556,0.171053381,0.098757716,30,D
5,5,22,Kos,33.6,0.033333333,0.019245009,35,D
5,5,1,Kos,33.91111111,0.050917508,0.029397237,35,D
5,5,4,Kos,33.6,0.152752523,0.08819171,35,D
5,5,7,Kos,33.55555556,0.050917508,0.029397237,35,D
5,5,10,Kos,33.75555556,0.171053381,0.098757716,35,D
5,5,13,Kos,33.72222222,0.069388867,0.040061681,35,D
5,5,16,Kos,33.7,0.033333333,0.019245009,35,D
5,5,19,Kos,33.87777778,0.050917508,0.029397237,35,D
7,10,22,Kos,32.12222222,0.126197963,0.072860428,35,D
7,10,1,Kos,33.36666667,0.033333333,0.019245009,35,D
7,10,4,Kos,32.73333333,0.120185043,0.069388867,35,D
7,10,7,Kos,32.41111111,0.153960072,0.088888889,35,D
7,10,10,Kos,32.66666667,5.02E-15,2.90E-15,35,D
7,10,13,Kos,32.4,0.288675135,0.166666667,40,L
7,10,16,Kos,30.28888889,0.510265,0.294601635,40,L
7,10,19,Kos,31.2,0.970108814,0.560092585,40,L
8,12,22,Kos,18.63333333,0.057735027,0.033333333,20,D
8,12,1,Kos,18.91111111,0.117062819,0.06758625,20,D
8,12,4,Kos,18.8,0.133333333,0.076980036,20,D
8,12,7,Kos,18.65555556,0.019245009,0.011111111,20,D
8,12,10,Kos,18.91111111,0.050917508,0.029397237,20,D
8,12,13,Kos,25.55555556,0.250185117,0.144444444,30,L
8,12,16,Kos,25.54444444,0.138777733,0.080123362,30,L
8,12,19,Kos,25.66666667,0.251661148,0.145296631,30,L
9,13,22,Kos,23.75555556,0.019245009,0.011111111,25,D
9,13,1,Kos,24.1,0.115470054,0.066666667,25,D
9,13,4,Kos,24.12222222,0.083887049,0.04843221,25,D
9,13,7,Kos,23.94444444,0.019245009,0.011111111,25,D
9,13,10,Kos,24.07777778,0.138777733,0.080123362,25,D
9,13,13,Kos,29.75555556,0.250185117,0.144444444,35,L
9,13,16,Kos,30.7,0.240370085,0.138777733,35,L
9,13,19,Kos,30.24444444,0.164429429,0.094933375,35,L
10,14,22,Kos,28.47777778,0.038490018,0.022222222,30,D
10,14,1,Kos,28.97777778,0.050917508,0.029397237,30,D
10,14,4,Kos,29.02222222,0.050917508,0.029397237,30,D
10,14,7,Kos,28.55555556,0.150308325,0.086780552,30,D
10,14,10,Kos,29.04444444,0.101835015,0.058794474,30,D
10,14,13,Kos,32.75555556,0.356422554,0.205780658,40,L
10,14,16,Kos,34.47777778,0.069388867,0.040061681,40,L
10,14,19,Kos,34.42222222,0.164429429,0.094933375,40,L
11,15,22,Kos,14.66666667,0.233333333,0.134715063,15,D
11,15,1,Kos,13.41111111,0.126197963,0.072860428,15,D
11,15,4,Kos,13.37777778,0.36565517,0.211111111,15,D
11,15,7,Kos,13.17777778,0.019245009,0.011111111,15,D
11,15,10,Kos,13.43333333,0.033333333,0.019245009,15,D
11,15,13,Kos,25.17777778,0.134715063,0.077777778,30,L
11,15,16,Kos,27.31111111,0.150308325,0.086780552,30,L
11,15,19,Kos,26.65555556,0.038490018,0.022222222,30,L
12,16,22,Kos,18.82222222,0.050917508,0.029397237,20,D
12,16,1,Kos,19.23333333,0,0,20,D
12,16,4,Kos,19.17777778,0.019245009,0.011111111,20,D
12,16,7,Kos,18.92222222,0.076980036,0.044444444,20,D
12,16,10,Kos,19.06666667,0.08819171,0.050917508,20,D
12,16,13,Kos,28.85555556,0.126197963,0.072860428,35,L
12,16,16,Kos,30.5,0.288675135,0.166666667,35,L
12,16,19,Kos,30.5,0.033333333,0.019245009,35,L
13,17,22,Kos,23.24444444,0.258915116,0.149484712,25,D
13,17,1,Kos,24.1,0.057735027,0.033333333,25,D
13,17,4,Kos,23.92222222,0.083887049,0.04843221,25,D
13,17,7,Kos,24.08888889,0.083887049,0.04843221,25,D
13,17,10,Kos,24.02222222,0.050917508,0.029397237,25,D
13,17,13,Kos,31.91111111,0.323751162,0.18691782,40,L
13,17,16,Kos,34.41111111,0.254587539,0.146986184,40,L
13,17,19,Kos,34.22222222,0.309719108,0.17881641,40,L
14,18,22,Kos,14.24444444,0.050917508,0.029397237,15,D
14,18,1,Kos,13.74444444,0.153960072,0.088888889,15,D
14,18,4,Kos,13.9,0.173205081,0.1,15,D
14,18,7,Kos,13.91111111,0.076980036,0.044444444,15,D
14,18,10,Kos,14,0.066666667,0.038490018,15,D
14,18,13,Kos,27.71111111,0.452564708,0.261288356,35,L
14,18,16,Kos,30.94444444,0.157527188,0.090948364,35,L
14,18,19,Kos,30.64444444,0.138777733,0.080123362,35,L
15,19,22,Kos,19.38888889,0.083333333,0.048112522,20,D
15,19,1,Kos,19.44444444,0.083887049,0.04843221,20,D
15,19,4,Kos,19.32222222,0.076980036,0.044444444,20,D
15,19,7,Kos,19.24444444,0.076980036,0.044444444,20,D
15,19,10,Kos,19.12222222,0.050917508,0.029397237,20,D
15,19,13,Kos,31.06666667,0.352766841,0.203670031,40,L
15,19,16,Kos,34.41111111,0.150308325,0.086780552,40,L
15,19,19,Kos,33.81111111,0.236486629,0.136535619,40,L
16,20,22,Kos,19.34444444,0.069388867,0.040061681,15,D
16,20,1,Kos,19.35555556,0.083887049,0.04843221,15,D
16,20,4,Kos,19.35555556,0.076980036,0.044444444,15,D
16,20,7,Kos,19.31111111,0.019245009,0.011111111,15,D
16,20,10,Kos,19.13333333,0.115470054,0.066666667,15,D
16,20,13,Kos,30.47777778,0.267360209,0.154360489,40,L
16,20,16,Kos,34.32222222,0.277555467,0.160246723,40,L
16,20,19,Kos,33.67777778,0.221944271,0.128139584,40,L
18,21,22,Kos,24.08888889,0.069388867,0.040061681,25,D
18,21,1,Kos,24.25555556,0.126197963,0.072860428,25,D
18,21,4,Kos,23.78888889,0.258915116,0.149484712,25,D
18,21,7,Kos,24.2,0.08819171,0.050917508,25,D
18,21,10,Kos,24.14444444,0.038490018,0.022222222,25,D
18,21,13,Kos,21.08888889,0.050917508,0.029397237,20,L
18,21,16,Kos,17.84444444,0.050917508,0.029397237,20,L
18,21,19,Kos,18.85555556,0.138777733,0.080123362,20,L
20,23,22,Kos,32.84444444,0.096225045,0.055555556,35,D
20,23,1,Kos,33.1,0.152752523,0.08819171,35,D
20,23,4,Kos,32.41111111,0.083887049,0.04843221,35,D
20,23,7,Kos,32.82222222,0.101835015,0.058794474,35,D
20,23,10,Kos,33.04444444,0.167774099,0.096864421,35,D
20,23,13,Kos,28.72222222,0.038490018,0.022222222,30,L
20,23,16,Kos,26.98888889,0.126197963,0.072860428,30,L
20,23,19,Kos,26.93333333,0.1,0.057735027,30,L
